2021-05-19 10:19:11,951 INFO    MainThread:132284 [wandb_setup.py:_flush():69] setting env: {}
2021-05-19 10:19:11,952 INFO    MainThread:132284 [wandb_setup.py:_flush():69] setting login settings: {}
2021-05-19 10:19:11,952 INFO    MainThread:132284 [wandb_init.py:_log_setup():336] Logging user logs to /home/indika/Programming/Projects/Python/Artifical-Intelligence/PyTorch/CNN/Weather-Clf/wandb/run-20210519_101911-14vbb7e8/logs/debug.log
2021-05-19 10:19:11,952 INFO    MainThread:132284 [wandb_init.py:_log_setup():337] Logging internal logs to /home/indika/Programming/Projects/Python/Artifical-Intelligence/PyTorch/CNN/Weather-Clf/wandb/run-20210519_101911-14vbb7e8/logs/debug-internal.log
2021-05-19 10:19:11,952 INFO    MainThread:132284 [wandb_init.py:_jupyter_setup():287] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f7a1d394128>
2021-05-19 10:19:11,953 INFO    MainThread:132284 [wandb_init.py:init():369] calling init triggers
2021-05-19 10:19:11,953 INFO    MainThread:132284 [wandb_init.py:init():376] wandb.init called with sweep_config: {}
config: {}
2021-05-19 10:19:11,953 INFO    MainThread:132284 [wandb_init.py:init():418] starting backend
2021-05-19 10:19:11,953 INFO    MainThread:132284 [backend.py:_multiprocessing_setup():72] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2021-05-19 10:19:11,992 INFO    MainThread:132284 [backend.py:ensure_launched():132] starting backend process...
2021-05-19 10:19:12,028 INFO    MainThread:132284 [backend.py:ensure_launched():137] started backend process with pid: 132537
2021-05-19 10:19:12,029 INFO    MainThread:132284 [wandb_init.py:init():423] backend started and connected
2021-05-19 10:19:12,039 INFO    MainThread:132284 [wandb_init.py:init():465] updated telemetry
2021-05-19 10:19:12,039 INFO    MainThread:132284 [wandb_init.py:init():484] communicating current version
2021-05-19 10:19:12,872 INFO    MainThread:132284 [wandb_init.py:init():489] got version response 
2021-05-19 10:19:12,872 INFO    MainThread:132284 [wandb_init.py:init():497] communicating run to backend with 30 second timeout
2021-05-19 10:19:13,612 INFO    MainThread:132284 [wandb_init.py:init():522] starting run threads in backend
2021-05-19 10:19:18,617 INFO    MainThread:132284 [wandb_run.py:_console_start():1565] atexit reg
2021-05-19 10:19:18,618 INFO    MainThread:132284 [wandb_run.py:_redirect():1412] redirect: SettingsConsole.WRAP
2021-05-19 10:19:18,618 INFO    MainThread:132284 [wandb_run.py:_redirect():1455] Wrapping output streams.
2021-05-19 10:19:18,618 INFO    MainThread:132284 [wandb_run.py:_redirect():1479] Redirects installed.
2021-05-19 10:19:18,618 INFO    MainThread:132284 [wandb_init.py:init():546] run started, returning control to user process
